question,answer
i suggest u must provide a search bar in order to search specific video by keywords,thank you for the feedback we will include it in our next iteration of updates.
in real time data would not be readily available in form of csv/excel/sql database. could you pls help on different sources of data where it is stored and how it can be pulled for modelling?,you will learn about it when you work on the case studies. all these are covered in the course.
hello team why are not adding the live sessions to the website? it would be really helpful for those who missed it.,all the live session videos can be accessed through our appliedai app. you can watch all the live session videos that you have missed by logging into the desktop app.
earlier i can find assignments module wise but here in every example: module 4 it mentioned there are 3 assignments i did not found any inside each chapter. it was easy to find relevance earlier,we have class room specific assignments. therefore we have shifted all the assignments related stuff to our classroom website itself. you can ignore assignments here and continue with assignments in google classroom.
how to register,on the home page to the top right corner you will find the options register' login please click on regiter and from there you have to fill a form and submit the details and you will be able to do it.
do we have anomaly detection covered in this course? kindly confirm,we have covered a few outlier detection techniques.
i have started under - curriculum / module 1/ fundamental of programming/ and below topics. please make me correct this path is correct for ml course?,yes it is correct. you need to follow the sequence we have provided.
hi i have heard some great feedback from my friend about your course and after seeing the contents i must say that this course is more than enough to know about ml dl. as i am new to this course can you tell me as how would i get to know about the lives sessions and doubt clarification sessions held from your side.,you will recieve an email 2-3 days prior to the day of live session. in the beginning itself you will receive an email with the links to download and install the desktop live session app. on the day when the live session is conducted you have to login to this desktop app and can attend the live session. within 24 hours of completion of the live session the video of the live session will be uploaded in that desktop app. you can browse it later whenever needed. regarding doubt clarification we have technical team working 24 7 to clarify the doubts. you can mail us a team@appliedaicourse.com and your queries will be answered within 24 hours. moreover if needed we also can call you and resolve your queries on phone.
can we have a session on topic modelling?,please drop us a mail at team@appliedaicourse.com regarding the same.
can you please provide the total time taken by each module like for module 1 - 2hrs so that if we are starting any module we can fix our brain and schedule that in next 2hrs we wont do any thing else and concentrate on studying only.,yes we are going to implement that soon.
hi team just i have login applied machine learning course could you please let me know how to start the course.,please drop us a mail regarding this at team@appliedaicourse.com so that we can help you with the process.
is there a way to login with google in mobile??,yes you also can access it using your gmail credentials but you have to access it through a browser only. we do not have any android/ios app.
what is the duration of this course,the course is valid for 1 year and has 120 hours of content.
facing problem to make payment.when i am trying to pay the course fee in 6 months emi option after giving my detalis and checking make payment option its taking me to the previous page.,please send an email to team@appliedaicourse.com otherwise you also can call us at 08106-920-029
deployment of ml model are also covered in this course?,yes we have a video on model deployment as well.
hello team i am a working professional and would like to up-skill in ml and dl domain for a better career. i have gone through applied ai curriculum and compared with other competitors you have better content than others but i see computing framework apache spark with hadoop and reporting tool tableau is not part of it. i have minimal knowledge of them and would like to know why they are used in data science and not included in your curriculum. thank you,they are used for paraellel processing and to handle the large datasets.we have organized the seminars online where we have explained about them.in future too we will be extending the course with these techniques.
thank you for your response. if available could you please share link to online seminar that has taken place. the future inclusion of these techniques will be made available for the students who enroll now as well?,you can access all live sessions using the desktop app. some of the live sessions are available on youtube. yes you will be able to access all previously held sessions.
hi i am from non technical background. will there be a problem taking ml course,for non-technical people it takes little more efforts but at the end as long as you are keeping your efforts with sincerity and dedication things keep getting done smoother. at the end your hardwork pays off.
do folks who complete the course in 1 yr get to keep the content lifetime?,after 1 year the access expires and you will not be able to access the course lectures and also the google classroom. so we suggest you prepare the notes while learning so that it could be useful for your lifetime.
sir please look in to this idea.. provide video download options like netflix amazon prime..so that during network problem or traveling also we can study the content.,please drop us a mail at team@appliedaicourse.com regarding the same.
can anyone tell me where i can find the syllabus in the form of pdf?,the syllabus copy has been forwarded to your email.
hi team i have a small suggestion. assignments like knn are taking too long to complete. for a working professional its becoming very difficult to run code waiting for it complete . if it runs in error running again. its becoming very difficult to complete the assignment as it is spreading across days. please prepare the assignments in a way it is easy to complete within less time instead of spanning across days.,thanks for the suggestion. if you face any difficulty in assignments please send it to team@appliedaicourse.com
what are the avg salary offered after completion of course ? consider fresher scenario,please call us on 91 8106-920-029 or send an email to team@appliedaicourse.com
which is best source/books to dive deep into python,you can refer this. it's interactive and you can practice the learned concepts thereitself.
hi team what will be the validity of the course ?,it is for 365 days.
1. have you used panda? if yes where and why? 2. if you have to predict a person's chances of getting a heart attack in near future based on his health data what model will you recommend and why? 3. give an example where false negative is more important than false positive and vice versa. 4. define sensitivity and specificity in context of models,1.yes you will its usage in whole course. 2.well this is the question you will be able to answer with the progress of the course.if it is posed as the classification problem you can have logistic regression/random forests/svms etc. 3.like in cancer prediction if the person has cancer and model predicts negative which is false can cost the patient's life right. 4.as you progress we have detailed introduction to such topics.please progress there
how much duration this course take..,there is 150 hours of content. the time it takes to complete the course depends on the speed of the student.
please add new sections showing how to leverage existing online cloud infrastructures like gcp aws etc to build train ml models this way it will ensure that almost everyone is freed to do it on their end which might be time-consuming ineffective process of learning because it just spoils the fun of learning when code is taking too long to run and worse even the computer gets frozen,thank you for the suggestion. we will do the needful.
course price is little bit high for a student...do you have any discount program ?,kindly mail to us for any query regarding the prices.
i am unable to access netflix movie recommendation system case study. please advise,can you please specify if you are geting any error message if so kindly take the screen shot and mail us the same.we will surely happy to help here.
can i make career in data science by pursuing this course,please feel free to call us at 91 8106-920-029 or 91 6301-939-583 so that one of us can have a detailed discussion with you on this.
what is the duration of this course?,a candidate is supposed to complete the course within 12 months from the date of purchasing the course.
can i study and practice on my core i3/ 8bg ram laptop?,yes definitely you can do that.
please add the genetic algorithms to the course. there is no teacher out there who could teach concepts as you do. looking forward to additions to the course.,thanks for your suggestion.
what is the canadian equivalent of the course price?,it is 25000 inr gst. please send an email to team@appliedaicourse.com for further information.
i am new to machine learning and data science . i want to take this course. may i know the laptop configuration required in order to complete the course?,please call us on 91-8106920029.
hello i have 4.7 years of experience in application support not much on specific technology. i am in this role for longer time and i feel to expose some new technologies which would help me in my career. i would like to enrol for this course but could you please advise if ml will be right path for me to switch my career path now ?,yes your choice is wise here. go ahead.
sir...... is debit card emi option available? i do not have credit card please respond....................,please call us on 91 8106-920-029
can someone please tell me where can i find lectures on time series in the course?,in feature engineering part we have discussed about it.
pls submit pdf sir based on videos,thanks for the suggestion.
- please assign color belt similar to karate belt for keeping the student motivated. - for example based on completion of video content along with assignments give the level/percentage of certification completion or send completion certificate 75 80 90 ... this could also help students to self promote as well as promote applied ai on linked in. - send open source summary links or notes based on completion of videos so that student can read it any time.,thanks for the suggestion.
hi team i have completed my be in 2012 in computer science stream but right now i m working on bpo. but i have sufficient knowledge of programming so can i take this course for a good job grantee purpose.,yes you can. please call us on 91 8106-920-029 for more information.
can you please provide all the ipynb and csv data files at a single place. it will be really easy to search for content.,please send an email to team@appliedaicourse.com
is there any video on mandatory assignment 2 i.e eda explaining what we need to do like mandatory assignment 1 30 mins video explaing about each sub-question,the video is present at the end of the chapter.
how to solve questions like this? consider the following 2 class problem w1 w2 classification problem involving a single feature x. assume equal class priors. the class conditional distributions are: p x w1 2x 0 x 1 0 otherwise p x w2 2-2x 0 x 1 0 otherwise 1. derive the bayes decision boundary? 2. what is bayes classification error? 3. what is the new decision boundary if apriori probability of class w1 is changed to 0.7?,please drop us a mail at team@appliedaicourse.com. we will be able to help you better
hi i am in b.tech 3rd year am i eligible for this course as i never worked on any domain i only know some programming langauge like c python and data structure,yes that will be enough for you to get started as we cover every important detail in the course so that you can learn better. if you have some more queries please drop us a mail at team@appliedaicourse.com so that we can help you better.
what is the laptop system configuration required for this course?,ram: minimum 8gb processor: 2.6ghz minimum
processor intel core i3-4005u clock-speed 1.7 ghz chipset intel qm87 express graphic processor intel hd 4400 ram ddr3 8 gb will this be ok?,yes it is sufficient for the course but i will recommend to upgrade ram to 12 gb
in classification business scenarios what is the ideal threshold we set if we are choosing f1 score as a metric and consider a situation where we do not have good domain knowledge also,we need to get probability values first for the target variable? then we can take threshold corresponding to max tpr 1-fpr as best threshold value. then once confusion matrix is obtained we can use it to obtain f1 score.
is it really necessary to have 8gb ram in laptop. i cannot upgrade my ram as it is quite expensive. please suggest some other way out because i am really interested in this course.,you can use google cloud platform
if i need to extend the program how much should i pay more?,kindly drop a mail to us we will explain the terms to you.
hi team... can we join live session through mobile....?,it is a desktop app which works only on windows/ubuntu/mac os platforms.
my laptop has 4gb ram. can i take the course with this laptop?,it would be if the ram is atlease 8gb. kindly try to upgrade ram.
is there any alternative solution to this. it's quite expensive upgrading the ram,you can use google cloud platform.
with the sole help of google colab can we complete the course?,you will be able to do most of the case studies. there are only 1 or 2 case studies that will require you to go for other platforms.
hi i am currently working as an intern in the mobile application development field. i want to shift my career to machine learning. is this course helpful for me? and do we need any pre-requirements knowledge on ml before taking this course?,there are no pre-requisites for this course. for more details please call us on 91 8106-920-029
is it a lifetime accessible course?,no. the course is valid for 1 year from date of registration.
hi i am telecom working professional have experience of 6 years. i have not knowledge of c c python programs can this program is useful for me.,please call us at 91 8106-920-029 or 91 6301-939-583 so that we can better understand your background and discuss with you in person.
please mention range of lectures or prerequisite lectures or case studies for completing an assignment it will help in solving the assignment in most suitable way :-,thank you for the feedback. we will do the needful.
not able to open module 1 videos s,please send an email to team@appliedaicourse.com
hello team - a small suggestion is there is a possibility can you please work on adding total hours and hours completed per module and chapter ? that would be very helpful to keep us motivated and would be easy to track as well. example: module 2 - total hours: 12 hours remaining: 6. something of that sort. this will be very helpful. thanks in advance. harsha,yes thank you for the feedback. we will do the needful
who dont have any programming knowledge can learn this and what is there job guarantee,yes irrespective of the pre-requisites the job guarantee is applicable for all those who finishes all the 30 assignments in 1 year. you can refer to the job guarantee terms and conditions of applied ai course here
can we expect real-world ai case studies as a part of the assignment as well or do we have to pay for it? please help clear this query.,yes we have real world case studies such as taxi demand prediction facebook friend recommendation self driving car music generation case studies included as assignments in our course. you do not need to pay for case studies.
sir in this course do we get to know about yolo and ssd algorithms,no we do not cover them here.
data structure and algorithms will required before to take this course or you will teach these topics?,the course does not have any prerequisites.
hi aaic team we want all our comments that we liked in our profile. because i feel there is a lot to learn even from the comments. i hit like for every comment i feel informative. at the end of the day i want all the comments i liked under my profile section as dropdown button for me. it would be great if you could do that. i feel this is very important for people like me.,thank you for the suggestion. we will implement it.
hi i am interested about your course and i am from mysore is there any online session give details to me thank you,please drop an email regarding your query at team@appliedaicourse.com so that we can help you better.
hi sir iris datasets.load_iris x iris wouldata' y iris notarget' tsne tsne n_components 2 perplexity 30 learning_rate 200 x_embedding tsne.fit_transform x if x is a sparse matrix you need to pass it as x_embedding tsne.fit_transform x.toarray .toarray will convert the sparse matrix into dense matrix for_tsne np.hstack x_embedding y.reshape -1 1 for_tsne_df pd.dataframe data for_tsne columns 'dimension_x' 'dimension_y' 'score' colors 0: ared' 1:'blue' 2:'green' plt.scatter for_tsne_df 'dimension_x' for_tsne_df 'dimension_y' c for_tsne_df 'score' .apply lambda x: colors x plt.show how to add legends in this code. thanks and regards deelip kumar,please try this- seaborn.facetgrid for_tsne hue target size 10 .map plt.scatter dimension_x dimension_y score .add_legend .
hi sir for_tsne_df pd.dataframe data for_tsne columns 'dimension_x' 'dimension_y' 'score' colors 0: ared' 1:'blue' 2:'green' plt.scatter for_tsne_df 'dimension_x' for_tsne_df 'dimension_y' c for_tsne_df 'score' .apply lambda x: colors x how can i add legend in the above code. thanks deelip kumar,try adding plt.legend at the end.
hiii i am working as tech support and i want to do job on ml . if i will join the course and go for interview via applied ai reference then my tech support experience matter? and can i get job as ml engg after doing tech support job.,yes you can get a job as ml engg. please call us on 91 8106-920-029 for more details.
do you provide full course at a time. i mean can i make it within 4 months instead of 6.,yes as soon as you register for the course you will have access to all the code videos and assignment.
earlier i used to see assignment-2: apply t-sne under module - 3 but now i could not see this assignment is it removed?,the assignment videos are there in instruction part of respective assignments in classrooms.
does college cgpa affects job garuntee provided by the course??,no it does not.
if i enroll for course then i will get certificate or if we didnot enroll and completed the course will i get certificate,certificate will be given to enrolled students when they finish the course. moreover not all videos are available if you are not enrolled. please contact us for futher information.
hi can i whether i can get the certificate after completing the course,yes you will get a course completion certificate from appliedai after you finish 30 assignments.
is a 6gb ram and an i3 processor enough to complete the course?,well you can perform some basic assignments with this config. for assignments that are computationally expensive you can use google colab or google cloud for free. we will be guiding you in using them for your assignments.
can i practise ml on ubuntu or is it better to have windows 10?,you can use either of the operating systems.
this is not for free course,yes it is not a free course. but you can watch some free preview videos.
hello sir i came across a term known as empirical risk minimizer. can you please explain it to me in simple english? thank you sir.,suppose you have a dataset z coming from unknown distribution then when we predict the values from the distribution we must have error of prediction as much low as possible. empirical risk e 1/n sigma loss yi yi where yi is predicted values where e denots the expected value
hi team my account was expired. how can i get the access for the python notes. please let me know.,please dorp us a mail at team@appliedaicourse.com
hi team my name is sawan gupta. i have completed my be in computer science in 2012. but due to not some kind of reason i did not get job in software industries and right now i am working in bpo sector. so if i joined these course so is there any possibilities to get a job because it's 7 year to go to complete my graduation and right now i have no knowledge of programming.,please call us on 91 8106-920-029
hello sir i really need deep learning right now for my assignment in college. can you please which all videos do i need to watch before jumping into deep learning i do not have time to watch all the videos up to module 7 . can you please tell me the important videos i.e. which are prerequisite for deep learning until module 7 . so that i can directly jump to module 8. sorry for this sir thank you.,you can watch up to svms and then watch deep learning videos.
i learnt about this course from a friend and was really impressed after going through some of the videos. does the job guarantee program also apply to international students i.e non indians and those not residing in india?,the job guarantee program is for students from india and usa only.
please add subtitle for all the video sometimes cannot heard correctly,thank you for the suggestion. we will let you know once it is done.
hello sir in the ridge regression model the equation has two parts a lamda b where a is the sum of squared errors and b is regularization term. how can we show that as lambda increases 'a' increases? thank you sir.,please go through this video.
hello sir can we prove it mathematically? if yes can you please explain it? thank you sir.,squared loss is y y 2 y w.x b 2 y y 2 y w.x b 2 y- hat y 2 y - w.x b 2 and regularization . w . w lambda. w . now our aim is to decrease the loss reg so i have the decrease the regularization term as well. now if my lambda increases my regularization term . w . w lambda. w will increase but i am trying to decrease the regularization term so w w w must decreases while optimization because of the increase in the lambda. if w w w is decreasing y y hat y will decrease and squared loss will increase. another important point is the threshold of lambda totally depends on data we have.
hi team as a suggestion if you could add a course progress monitoring section for each account like a simple line graph of minutes of content watched each day/ percentage of course completed in one-day on the y-axis and the dates on x-axis it would be very much helpful to us like we will be able to see if we are maintaining a constant progress or do we need to put in more effort. also if you could return the grade/marks obtained in each assignment it would be more useful than rather just accepted or rejected. thank you :,thanks for the suggestion we will let you know once we add such a feature.
could we get zip extracted folder having all the jupyter notebooks according the aaic syllabus contents? it will be very much helpful to refer them easily without downloading each and every time.,please send an email to team@appliedaicourse.com
hi team is this course syllabus covers all data science topics,it is difficult for any course to cover all data science topics. we have covered the most useful topics.
hi team i3 processor 3gb ram and 87.8 hard disk size.....is it sufficient to complete the course?,no you might find some difficulty in running some assignments. you can use google colab. it's free and offers gpu with 12 gb of ram.
the course content is very good but i would like to highlight one issue faced by the aspirants enrolled with this course. the assignments in this course are based on very large dataset because of which it takes frustratingly large time to run and sometimes system also fails due to memory limitation. gcp also does not seem to be very useful. ur content is very classy so if you re-design the assignment and make it a bit aspirant friendly it would encourage aspirants.,as per our experience here students have not faced much such issue with i5 and 8-12 gb ram is sufficient.
are you planning to release mobile apps to access the content. it will be an awesome experience with a feature to see videos in offline mode while commuting etc,thank you for your feedback. we will take it into consideration.
is the oops concepts also covered in module 1 for python programming?,no. oops are not covered in this course. please refer this for oops.
is oops concepts to be covered by myself if i opt for this course? i mean is it necessary to know oops concepts,no they are not necessary for this course. but it is always better to have a basic understanding of those concepts.
hello team i live in hyderabad only. can i go to your office directly instead of talking on phone as i have many queries to discuss.,yes you can.
does paying in emi will let use the full content for that month,yes you can use full course
sir course completion percentage is showing wrong? as i have completed some contents and given a completed tick mark.,the revision questions interview questions and assignment sections also contribute to the percentage of the course completed. please check it once.
wanted to join this course just have some doubts. what is the duration of the course..?? what if i directly completes assignments by skipping some chapter.,please call us at 91 8106-920-029 or 91 6301-939-583 so that we can help you out better
sir one thing i would like to ask. to implement these functions it would take long hours to compute output. please although silly the doubt is if you would mention the specification minimum to run the algorithm smoothly for a learning point of view keeping in mind the image data set and nlp also with deep learning implementation. on quora etc i read the answers and all pointed towards all those heavy gaming laptops with very high prices.,you can go for i5 procesor with atleast 12gb ram with 1/2 gb gpu.thats enough i guess
can you please add 'search' feature so that we can search the topics which we need to watch for revising.,thank you for the suggestion. we will look into it.
please add remember me checkbox.,thanks for the suggestion we will try to add it soon.
will i get a related certificate from your side after i successfully completed this course ?,yes you will get a certificate upon course completion.
please add a search option so that we can search for a specific topic,we will look into it.
i m experience in electrical and planning feild in thermal power plant. is therr any scope here i wannted to be a data scientist. is this ml will help me,please call us on 91 8106-920-029
if i buy this course will i get lifetime access or access period is limited?,the validity of the course is 365 days.
may i know what is the reason for having a limited time period for this course?,the reason for having a specific time period is to create seriousness and punctuality among the students and make them finish the course and learn the concepts thoroughly within a specified time. if there is no specific time period it might take years and still most of the students will not be completing the course due to lack of seriousness. also the stuents might gets distracted from the course if they have infinite amount of time. hence we have specified the validity period as 1 year keeping not only the college students but also the working professionals in the mind. one year period is a sufficient amount of time for a new bie to start from the scratch and finish the course along with advanced case studies.
is there us certificate for free videos,you will get a certificate of completion only if you register for the course and finish all the assignments.
which is better place to stay for machine learning interview? bangalore or delhi?,you have got many companies in bangalore that hire for ml engineer/data scientist positions when compared to delhi.
hi i am from manufacturing industry backround with domain experience in materials of around 7 years. currently i am learning python programming. my basic qualification is bsc in chemistry.please let me know whether i am eligible to learn machine learning and chances of getting job after completion course due to my non it background.,please call us on 91 8106-920-029
is it possible to land a ml job without knowledge in datastructures and algorithms?,well if you are looking for a job in big league companies like google microsoft you need to have a very good knowledge of data structures and algorithms. for other job roles basic knowledge of data structures and algorithms is good enough.
iam passedout in2015 year btech i have an gape no experience is there suitable or not plus conform me,please give us a call on 91 8106-920-029 or 91 6301-939-583 so that we can better understand your branch and background and let you know whether its suitable for you or not.
hi team how to get access to dekstop app to attend live session?,kindly email us the same and we will resolve your query.
i have a question that how much percentage of ml and dl consist of natural language processing part?,we have covered all the basic tools of nlp required kindly visit the nlp videos for it
hi there is total 9 chapter in this course. as per google classroom we should start with assignment-1 which is data visualization . bt as per course curriculum sql is their in ch-1. - assigment 22. so my question is can we proceed with 1-2-3 and do i need to do sql assigment first? please reply..,you can follow as per the google classroom assignment numbers. you can skip the sql for now.
hello team please include the content for computer vision also in the course and also i have observed that the assignment are not in the sorted order they are randomly placed in the course and also try to include the lastest syllabus for ml as well as ai,thanks for your review durgesh we are currently working on it and soon update the content.
what happens when your one year validity is over we can still have access to course right? only thing is we cannot submit assignments,no. the full access will be lost. you cannot submit the assignments and also you cannot view the video lectures.
hi team would this course also cover the contents necessary in the field of data science. also is machine learning and data science interrelated? and can we look for an opportunity both in the filed of as machine learning engineer and data scientist after successful completion of this course? many thanks.,please call us at 91 8106-920-029 or 91 6301-939-583 so that we can assist you better.
how long is the course valid per payment?,the total validity of the course is 365 days/1 year from the date of registration and the course should be completed within this period. for more queries please drop an email to team@appliedaicourse.com.
sir i just want to know is there required any degree and what's the procedure for apply?,please reach out to us to have a discussion at 91-8106-920-029 within india or mail us at team@appliedaicourse.com
in numpy if we want to extract value which is less than some value from 1st coloumn then how to do it ex data array 3 1 6 4 3 7 1 2 3 i want data 4 from first coloumn,let a np.array 2 4 6 8 10 for example if you want all the values greater than 5 in a given list then 1 if you want to get the result in the form of a list then b x for x in a if x 5 2 if you want to get the result in the form of an array then c np.array x for x in a if x 5
can we add this certificate in linkedin?,yes you can do it.
since the course content is huge and candidates' requirements may vary it would be helpful i think for many students if a road-map could be provided detailing the dependencies between the modules. for example can i complete module 8 without completing module 5...,we actually insist the students to follow the videos in the order they are present. the modules are dependent on previous modules.
best youtube channel for learning machine learning https://technoidhub.com/technology/best-youtube-channel-for-learning-machine-learning-and-artificial-intelligence/16247/,thanks for sharing
any plan to add gans in the course ??,yes we will try to introduce some of these new topics to the course in the future.
hi i have queries which i need to talk to some representative . is it possible to schedule it on this weekends,please drop us a mail regarding your query at team@appliedaicourse.com.
i just graduated my 12th standard cs with maths with good marks. can i get this course?. and what if i am not interested in job placements and degree. the only thing is i want to learn ai. please reply thanks in advanced.,please call us at 91-8106-920-029. we try to clarify all your queries over the phone.
can we get all the ipython notebook at a particular location for the content that we have completed this way it will be easier for us to browse through different codes and concept easily,for that you can mail us at team@appliedaicourse.com
hello verma sir i need your valuable advice regarding the following i am currently doing masters in cse nit bhopal and i got a 10 month internship offer from toshiba company i wanted to how much help will taking up this intership will do to my ml engineer carrier as the intern role would mostly be on java technology and i am looking for ml engineer role in product based companies so how beneficial is taking up this intership or should i only look for companies that offer me internship only in ml as from august i have my campus placement commencing. am really confused pls share your option in making the decision. regards,please drop an mail to team@appliedaicourse.com regarding this so that we can have discussion with you about the same.
i am bit weak in maths.... can i join the course?,yes you can. we have many videos on maths which is useful for machine learning. for further inquiry you can call us on 91 8106-920-029
two suggestions for the website: 1. instead of displaying the comments with max votes based on the other students it would be great if the team instructors can vote the comments and then we could be more sure that which are the most important comments that we should go through. 2. please add the live session videos to the appropriate module videos for which topic the session was held so that it becomes easier for us to go through the corresponding live session video after completing a particular topic.,thanks for your feedback. 1. we already have admin vote and that is given by applied team only for particular questions. 2. yes we added for some of the live sessions we will soon update for the rest of them.
as this is one of the best courses...i am planning to join this course probably by next 2 months. so what about the companies you are referring..i mean are they product based companies?,yes you can see the portfolios of students on our website and list of companies. for more information send us an email at team@appliedaicourse.com
how to access assignments?/,they are provided under videos named assignment.
spelling mistake: it should be assignments but not assigments,thank you for the correction pavan.
can we learn anything without enrolling by paying money,we did not get you. enrollment will be finished only after you make the payment. once after you are enrolled you need to finish the course within a span of 1 year.
if i failed to complete this course within 1 year...then would you help us for interviews and take mock test?,yes surely we will help you along the way. but the job guarantee program will not be applicable.
a general question sir after completing module 4 and assignment -9 i am not able to understand which sequence to follow. is it should be module 5 6 7 8 9 but assignment numbers in classroom given are in different sequence here as 10th assignment is in 7th module. then i would have to submit assignment 10 after many like 15 16 17 19 and 20.,just follow the course content and submit it in that order only as there is in course.
what are the major difference between the case studies in our course and the real time data scientist work in companies,the case studies we have done are on a small scale but are very rigourous and complexity is somewhat same as the work a data scientist does.please bare with the time unless you learn them.
hi sir if i will complete all assignment and course during the valid duration. what are the chances to get jobs,once after you finish the assignments we will conduct a written test followed by 2 mock interviews. depending on your performance we will refer you to the jobs. you need to finish minimum 24 assignments in order to attend an interview.
hi sir that means even after completing 30 assignments if we perform bad or average in 2 mock interview you wont refer us to better companies?,depending on your performance skillset previous work experience if any the mentors would prepare you for the main interviews and in this process you will have to clear 2 mock interviews which are taken by ml experts from appliedai. if you are able to crack those interviews and build a strong portfolio then only you will be referred to companies.
hi sir then how job guarantee will work now. if we complete 30 assignments and not clear mock interview that means no referrals and no placement. now we will get a refund? as we wont get placed. according to the job guarantee terms . concerned before joinig the course,the day when you register for the course within 24 hours you will be given full access to the course. you need to finish the video lectures assignments total 30 within an year. among these 30 assignments when you finish the first 15 assignments you will have 1 round of mock interview parallelly you will be made to work on 16-20 assignments. when you finish 20th assignment you will have 2nd mock interview. after that you will be asked to work on 21-30 assignments. in case if you fail in any of the mock interview you will be given some time the interview will be rescheduled. from the day you have finished all the assignments you will will be placed within 6 months from that day. if we are not able to get placed even after putting such huge efforts finishing the assignments then your course fee of 25k will be refunded. but during this 6 months in whichever company they refer you as per your requirement you have to attend the interview. even after that if you are still not yet placed then the course fee of 25k will be refunded. so far no one has reached this stage of getting refund. all those who have finished the course have got placed.
do you have placements in european countries like luxembourg?,for now we provide placements in india and usa only.
which companies have recruited for usa positions in the past?,please send an email to team@appliedaicourse.com
if we plot a pairplot for 1 linear regression 2 classification problems so what does the gaussian curve or left/right scwed plot diagonally mean and what is the inference for only diagonal plots .,diagonal plot is the distribution plot of that feature. hence you see the left or right skewed depending in the distribution of the feature.
kindly provide options like normal videos pause play fast forward to previous live session videos in the desktop application it's very hard to see the video without that options.,thanks for your feedback we will try to make it. for any other suggestions please drop an mail to team@appliedaicourse.com
hello i want to enrol for applied machine learning online course i have macbook with i5 processor 128 gb 8 gb of ram. is my mac enough for taking this course or do i need to go for windows laptop with high configuration?,yes it is farely very well.
i am from electrical engineering background. i have a basic exposure to programming languages like c c and python. could i be able to cope up with syllabi prescribed and learn ml as per your schedule?,yes if you give enough attention to the course curriculum with the desire to learn you will surely be able to complete the course and will be able to master the various machine learning algorithms and will know how and when and where to apply after completion of the course. we will help you along the way and will guide you wherever you feel stuck. for more details please drop us a mail at team@appliedaicourse.com
please add bajaj finserv emi card for payment. as lot of students have them.,kindly mail us at team@appliedaicourse.com with your query regarding this and we will consider it and tell you the various options regarding it.
does the applied ai course comprises of all the case studies ?,yes the machine learning course comprises all the case studies.
hi anyone suggest me that above course is sufficient enough for complete data science course. applied machine learning online course it seems they are more focus only on ml and ai .,if you follow the course thoroghly and learn from you end also as much as you can then along with our continuous support you can definitely land in a job of data scientist.
is this course enough for me to become a good data scientist?,this course covers all the topics in good depth. along with the course videos you also need to complete the assignments and the case studies and clear the mock interview sessions in order to get placed in a good company as a good ml engineer/data scientist. moreover completing this course is not the end of your learning. you should never stop learning new stuff.
where can i find the course syllabus pdf?,you can apply for the schedule of yours and this will give you the whole syllabus in .pdf file.
iam the new joiner how was the course,kindly start going through the video lectures. each and every topic is explained in a crystal clear manner.
sir i have completed my btech 2019 batch but i dont know any computer languages can i start this course without any known languages,dont worry we will teach every thing from scratch. we recommend you please go through the freely available content after creating an account that will help you understand how hard or easy our programming assignments are. further queries: please call us at 91 8106-920-029 or 91 6301-939-583 so that we can discuss with you in person
hello sir i have one year experience in cloud technologies of azure. it is any help ful to me means adding to profile,please email us and we shall get back to you. thanks.
hi aaic team please add filter based comments like sort by newest first all comments. etc.. should be more helpful.,thank you for the feedback. kindly send an email to team@appliedaicourse.com regarding suggestions about the appliedai website.
hi i do not have a good spec laptop 4 gb ram i5 processor will i be able to complete the assignments in course with this laptop once i enrolled or am i allowed google colab to do assignments,please upgrade the ram - 8gb yes you can use google colab.
please add a new section in the website where students can share their complete interview experience- say questions asked rounds of interview etc. also add new text document in each section which lists out the references used. also list some advanced topics or other relevant topics related to that section and sources if any may be research papers research labs or researchers working in a particular area or some other techniques which are not covered in the course but are worth mentioning etc. the course is without any doubt brilliant. you can make it even better.,hi bharat thanks for your kind review and feedback. we recommend you to join our slack group where students share their interview rounds and discussing lot of questions . if you still have further queries regarding this kindly mail us at team@appliedaicourse.com
some hyperlinks are not clickable in comment section so every time we need to copy paste it to address bar. please make them clickable hyper link from simple text format.,most of the links are clickable. hardly few of them are present in such a way that we have to copy and paste them in the address bar. we will make sure to get rid of this. kindly cooperate with us and thank you for the feedback.
hi team a small suggestion it will be great if you can make a module for live sessions. as it will the people who missed the live sessions. regards vijay,kindly post the suggestion in our slcak channel or mail us at team@appliedaicourse.com
can you please add the live session videos which are being conducted now a days to this free video section or those session should be available for students,we will consider them adding in future.
under new in the jupyter notebook for mac it also has an option terminal . is it similar to the terminal that we have on the mac?,yes it is terminal like that only.
